Buzz Report,,,,,,,,,,,,,,,,
Start Time,  09:00:00 ,,,,,,,,,,,,,,,
Ticker, Price ,Float,Ments YDay,Ments TDay,Ments Incr,2Hrs Ago,Last Hour,Projected,Aud YDay,Aud TDay,Aud Incr,$10M Float,Float Easy,Ments Strength,Aud Strength,Strength
$ggii, 0.0257 ,"2,845,000,000",404,240,-41%,45,44,105,"414,520","503,876",22%,0,68.91,6,10.6,8.3
$sos, 3.6300 ,"1,163,982,986",96,177,84%,57,34,78,"33,166","79,319",139%,0.03,0.19,10.95,9.6,10.3
$idex, 2.8600 ,"367,740,000",27,108,300%,74,26,48,"43,361","406,755",838%,0.08,3.87,11.63,16.8,14.2
$azfl, 0.0028 ,"17,600,656",231,15,-94%,5,5,27,"206,871","3,000",-99%,0,608.74,-10.02,-14.2,-12.1
$mara, 24.3500 ,"94,590,000",13,105,708%,69,32,63,"2,600","165,000",6246%,2.57,0.72,15.17,15.2,15.2
$eyes, 6.4400 ,"14,950,000",132,35,-73%,28,29,42,"578,943","227,738",-61%,4.31,23.65,-5.96,-7.9,-7
$rgbp, 0.0135 ,nan,25,61,144%,8,14,132,"17,893","128,810",620%,N/A,N/A,7.19,13.3,10.3
$ltnc, 0.0345 ,"276,700,178",46,42,-9%,10,13,33,"11,411","8,400",-26%,0,8.8,2.43,-1.7,0.4
$ftxp, 0.0013 ,"100,693,521",51,58,14%,4,4,15,"10,200","29,103",185%,0,2223.27,4.77,6,5.4
$gvsi, 0.0210 ,nan,53,12,0%,8,12,30,"27,696","11,254",-59%,N/A,N/A,0,-6.3,0
$enzc, 0.2280 ,"1,670,830,512",40,24,-40%,12,10,15,"8,627","12,971",50%,0,0.34,-2.69,2.7,0
$fbcd, 0.0210 ,nan,12,21,75%,10,7,24,"49,488","99,916",102%,N/A,N/A,3.3,9.9,6.6
$nakd, 0.6980 ,"396,910,000",24,19,-21%,9,10,12,"33,388","7,520",-77%,0.02,0.27,-0.77,-9.6,-5.2
$segi, 0.0215 ,"1,712,391,213",6,38,533%,14,9,6,"2,599","44,817",1624%,0,12.17,10.15,9.2,9.7
$arbkf, 2.0300 ,"312,390,000",15,40,167%,6,3,6,"3,688","97,298",2538%,0.06,1.53,6.19,12.9,9.6
$opti, 0.0793 ,"1,610,000,000",13,15,15%,11,8,18,"10,029","10,274",2%,0,0.8,1.7,1.7,1.7
$eegi, 0.0051 ,nan,18,12,0%,6,7,18,"10,808","28,069",160%,N/A,N/A,0,5.7,0
$ilus, 0.0680 ,"342,807,831",11,29,164%,5,5,0,"2,200","6,427",192%,0,2.76,5.35,1.9,3.6
$innd, 0.0154 ,"90,629,677",7,7,0%,7,2,27,"29,750","1,400",0%,0,10.03,0,0,0
$opgn, 2.0700 ,"38,530,000",1,21,2000%,11,8,3,200,"199,386",99593%,0.54,25,15.23,16,15.6
$aabb, 0.1700 ,"1,421,665,844",6,10,0%,9,6,12,"3,208","4,844",51%,0,0.2,0,1.2,0
$tggi, 0.0032 ,"8,485,578,606",25,10,0%,1,4,3,"14,295","2,549",-82%,0,0.94,0,-9.2,0
$ngcg, 0.0600 ,"178,418,849",21,7,0%,5,1,6,"23,442","7,478",-68%,0,6.99,0,-7.6,0
$uatg, 0.0380 ,nan,7,15,114%,3,4,3,"3,761","13,824",268%,N/A,N/A,3.45,3.7,3.6
$ctrm, 3.1900 ,"705,910,000",6,7,0%,5,1,12,"3,610","5,029",39%,0.05,0.02,0,1.2,0
$vxit, 0.0200 ,nan,1,6,0%,2,2,15,906,"3,585",296%,N/A,N/A,0,1.2,0
$blsp, 0.0036 ,nan,0,3,0%,2,1,18,0,"35,066",35066%,N/A,N/A,0,8.2,0
$gnus, 1.8000 ,"283,650,000",3,3,0%,9,1,6,"3,010",600,0%,0.06,0.01,0,0,0
$nspr, 5.3000 ,"114,500,000",15,4,0%,1,0,0,"34,861",800,0%,0.46,0.01,0,0,0
$aitx, 0.0710 ,nan,2,8,0%,5,0,3,400,"2,526",532%,N/A,N/A,0,0.9,0
$mrpi, 0.0124 ,nan,16,0,0%,0,0,0,"3,200",0,0%,N/A,N/A,0,0,0
$vmhg, 0.3697 ,"6,658,330",1,9,0%,1,1,3,200,"3,032",1416%,0.56,12.32,0,1.1,0
$mjwl, 0.0551 ,nan,3,5,0%,2,2,3,600,"1,000",0%,N/A,N/A,0,0,0
$gtll, 0.0044 ,"13,880,000,000",1,2,0%,5,1,3,200,"1,571",0%,0,0.26,0,0,0
$dpls, 0.0192 ,"4,019,999,999",2,5,0%,3,2,0,400,"1,000",0%,0,0.13,0,0,0
